id,race_id,state_abbrev,state,office_id,office_name,office_seat_name,cycle,stage,special,party,politician_id,candidate_id,candidate_name,ballot_party,ranked_choice_round,votes,percent,unopposed,winner,alt_result_text,source
31168,9352,TN,Tennessee,487,U.S. House,District 4,2022,general,false,"",18286,29953,David Leighton Jones,IND,"",708,0.40821739305915117,,false,,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20221108TotalResults.pdf
31169,9352,TN,Tennessee,487,U.S. House,District 4,2022,general,false,"",18287,29954,"Joseph ""Krishnadas"" Magyer",IND,"",455,0.26234309864677086,,false,,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20221108TotalResults.pdf
31170,9352,TN,Tennessee,487,U.S. House,District 4,2022,general,false,"",17163,29955,Mike Winton,IND,"",2834,1.6340227287141729,,false,,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20221108TotalResults.pdf
31171,9352,TN,Tennessee,487,U.S. House,District 4,2022,general,false,"",2786,29233,Scott DesJarlais,REP,"",122401,70.57375300541408,,true,,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20221108TotalResults.pdf
31172,9352,TN,Tennessee,487,U.S. House,District 4,2022,general,false,"",18285,29951,Clyde Benson,IND,"",1806,1.0413002992441058,,false,,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20221108TotalResults.pdf
31178,9354,TN,Tennessee,489,U.S. House,District 6,2022,general,false,"",18820,30689,Randal Cooper,DEM,"",65675,33.66860962868407,,false,,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20221108TotalResults.pdf
31179,9354,TN,Tennessee,489,U.S. House,District 6,2022,general,false,"",9008,29234,John Rose,REP,"",129388,66.33139037131593,,true,,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20221108TotalResults.pdf
31180,9355,TN,Tennessee,490,U.S. House,District 7,2022,general,false,"",10850,29962,Steven J. Hooper,IND,"",3428,1.8957870170665074,,false,,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20221108TotalResults.pdf
31181,9355,TN,Tennessee,490,U.S. House,District 7,2022,general,false,"",10694,29235,Mark E. Green,REP,"",108421,59.96007123027065,,true,,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20221108TotalResults.pdf
31182,9355,TN,Tennessee,490,U.S. House,District 7,2022,general,false,"",18292,29961,Odessa Kelly,DEM,"",68973,38.14414175266284,,false,,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20221108TotalResults.pdf
31183,9356,TN,Tennessee,491,U.S. House,District 8,2022,general,false,"",9011,29236,David Kustoff,REP,"",155602,73.98521265720467,,true,,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20221108TotalResults.pdf
